municipio,ICV_2023_pct,area_total_na_rh3_ha
Itatiaia,52.835432600185285,24065.44208445744
Mendes,42.23288339339354,2207.2663371471785
Petrópolis,38.81473884933017,7.938242018602642
Resende,36.16619270335744,109537.07706042613
Piraí,33.36477846420513,10430.969119476307
Miguel Pereira,33.16133207401599,3636.702761559599
Barra do Piraí,29.809409886992356,53819.4682643539
Pinheiral,26.326369792351294,8225.138160380053
Volta Redonda,25.74083441519897,18210.331089019848
Valença,25.6055247249411,129958.54767833532
